hopetown_14_15,midrand_ew_5,pvlib_hopetown_0_15,pvlib_hopetown_0_15_0.9
0.044949417,0.229487021,0,0
0.044949417,0.229487021,0,0
10.44336107,15.01990081,0,0
10.44336107,15.01990081,6.688879576,6.019991618
30.09082836,34.47103731,17.98940539,16.19046485
30.09082836,34.47103731,28.06932451,25.26239206
49.49717326,51.81137336,39.28697555,35.358278
49.49717326,51.81137336,49.28962527,44.36066275
64.42998238,64.77713446,59.44522127,53.50069914
64.42998238,64.77713446,67.6632121,60.89689089
74.10966649,74.41451132,75.38956569,67.85060912
74.10966649,74.41451132,81.61744952,73.45570456
79.53396828,83.44592227,87.08086282,78.37277653
79.53396828,83.44592227,91.15755392,82.04179853
81.43158894,84.59178513,94.25670768,84.83103691
81.43158894,84.59178513,95.03103221,85.52792899
77.74185195,84.32215261,94.67109593,85.20398633
77.74185195,84.32215261,93.03310501,83.72979451
69.73335141,75.40743659,90.17254164,81.15528747
69.73335141,75.40743659,86.05283887,77.44755498
57.41419469,62.62692815,80.59977719,72.53979947
57.41419469,62.62692815,72.39452626,65.15507363
40.83116866,44.73016333,63.43641687,57.09277518
40.83116866,44.73016333,53.17749633,47.8597467
20.48943703,23.72551795,42.53104736,38.27794262
20.48943703,23.72551795,31.31750022,28.1857502
2.698074837,3.382129683,19.19371144,17.27434029
2.698074837,3.382129683,6.243450477,5.61910543
0,0,4.661081309,4.194973178
0,0,2.345473917,2.110926525
