Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Ruraflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Ru23N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[601 - 900km],> 132kV,Ruraflex_Non-Local Authority_[601 - 900km]_> 132kV,Ru24N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[> 900km],< 500V,Ruraflex_Non-Local Authority_[> 900km]_< 500V,Ru31N,736.000542,222.954624,121.060212,240.000912,165.22047,104.825652,0,0,0,0,0,41.781444
Ruraflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Ru32N,728.706264,220.778742,119.876442,237.723564,163.58574,103.822266,0,0,0,0,0,38.230134
Ruraflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Ru33N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[> 900km],> 132kV,Ruraflex_Non-Local Authority_[> 900km]_> 132kV,Ru34N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[0 - 300km],< 500V,Ruraflex_Local Authority_[0 - 300km]_< 500V,Ru01Y,730.860328,221.382084,120.236732,238.425176,164.074548,104.0842,0,0,0,0,0,41.566888
Ruraflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Ruraflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Ru02Y,723.591132,219.211344,119.034476,236.087456,162.41588,103.02666,0,0,0,0,0,38.138232
Ruraflex,Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Ru03Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[0 - 300km],> 132kV,Ruraflex_Local Authority_[0 - 300km]_> 132kV,Ru04Y,0,0,0,0,0,0,0,0,0,0,0,0
